:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
38,16865,68,54,2,,Alcohol Involvement,Driver Inattention/Distraction,,,,,2017-09-30T00:00:00.000,40.69168,POINT (-73.999344 40.69168),,,,,-73.999344,0,0,0,0,0,0,0,0,,,0:10,3760043,TAXI,SPORT UTILITY / STATION WAGON,,,,
43,11269,35,31,5,BRONX,Unspecified,,,,,,2017-09-30T00:00:00.000,40.84271,POINT (-73.885666 40.84271),,,,,-73.885666,0,0,0,0,0,0,0,0,EAST TREMONT AVENUE,SOUTHERN BOULEVARD              ,10:30,3760928,PASSENGER VEHICLE,,,,,10460
51,10090,23,11,4,MANHATTAN,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.763428,POINT (-73.96522 40.763428),,,,,-73.96522,0,0,0,0,0,0,0,0,EAST 62 STREET,3 AVENUE                        ,10:30,3760823,SPORT UTILITY / STATION WAGON,,,,,10065
5,14787,65,73,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,33-29     70 STREET                     ,2017-09-30T00:00:00.000,40.75369,POINT (-73.89639 40.75369),,,,,-73.89639,0,0,0,0,0,0,0,0,,,10:20,3760707,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11372
41,24017,46,60,3,QUEENS,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.68957,POINT (-73.85706 40.68957),,,,,-73.85706,1,0,0,0,0,0,1,0,86 STREET,89 AVENUE                       ,13:15,3761265,PASSENGER VEHICLE,BICYCLE,,,,11421
48,17212,68,55,2,BROOKLYN,Unspecified,,,,,100       NORTH PORTLAND AVENUE         ,2017-09-30T00:00:00.000,40.695034,POINT (-73.97619 40.695034),,,,,-73.97619,0,0,0,0,0,0,0,0,,,16:00,3760562,SPORT UTILITY / STATION WAGON,,,,,11205
37,13828,42,53,2,BROOKLYN,Passing or Lane Usage Improper,Unspecified,,,,195       STOCKHOLM STREET              ,2017-09-30T00:00:00.000,40.700138,POINT (-73.92218 40.700138),,,,,-73.92218,0,0,0,0,0,0,0,0,,,0:00,3761473,SPORT UTILITY / STATION WAGON,,,,,11237
16,24336,25,65,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.726376,POINT (-73.76624 40.726376),,,,,-73.76624,0,0,0,0,0,0,0,0,GRAND CENTRAL PARKWAY,FRANCIS LEWIS BOULEVARD         ,10:00,3760496,PICK-UP TRUCK,PASSENGER VEHICLE,,,,
6,15311,63,63,3,QUEENS,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.692383,POINT (-73.73145 40.692383),,,,,-73.73145,0,0,0,0,0,0,0,0,230 STREET,LINDEN BOULEVARD                ,13:18,3760465,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11411
38,18182,36,57,2,,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.73681,POINT (-73.952644 40.73681),,,,,-73.952644,0,0,0,0,0,0,0,0,,CLAY STREET                     ,16:35,3760420,PASSENGER VEHICLE,,,,,
44,17616,21,35,2,,Unspecified,,,,,,2017-09-30T00:00:00.000,40.58848,POINT (-73.991875 40.58848),,,,,-73.991875,0,0,0,0,0,0,0,0,BAY 44 STREET,SHORE PARKWAY                   ,14:17,3761479,PICK-UP TRUCK,,,,,
20,14192,22,67,3,,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.78832,POINT (-73.81103 40.78832),,,,,-73.81103,0,0,0,0,0,0,0,0,,CLINTONVILLE STREET             ,12:30,3760327,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
38,17613,36,57,2,BROOKLYN,Unspecified,,,,,54        NORTH 6 STREET                ,2017-09-30T00:00:00.000,40.719517,POINT (-73.96194 40.719517),,,,,-73.96194,0,0,0,0,0,0,0,0,,,15:45,3761583,PASSENGER VEHICLE,,,,,11249
,,,,,MANHATTAN,Unspecified,,,,,352       W 58th st                     ,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,,,16:18,3761621,TAXI,PASSENGER VEHICLE,,,,10019
39,13092,47,22,4,MANHATTAN,Driver Inexperience,,,,,401       WEST 207 STREET               ,2017-09-30T00:00:00.000,40.86381,POINT (-73.91735 40.86381),,,,,-73.91735,0,0,0,0,0,0,0,0,,,3:15,3761916,PASSENGER VEHICLE,,,,,10034
47,20529,51,59,3,QUEENS,Backing Unsafely,Unspecified,,,,,2017-09-30T00:00:00.000,40.605335,POINT (-73.75528 40.605335),,,,,-73.75528,0,0,0,0,0,0,0,0,BEACH CHANNEL DRIVE,MOTT AVENUE                     ,14:10,3761931,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11691
25,13830,33,47,2,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.641205,POINT (-73.877205 40.641205),,,,,-73.877205,0,0,0,0,0,0,0,0,,,14:15,3762062,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
3,14190,22,67,3,QUEENS,Traffic Control Disregarded,Unspecified,,,,,2017-09-30T00:00:00.000,40.751236,POINT (-73.81431 40.751236),,,,,-73.81431,0,0,0,0,0,0,0,0,SMART STREET,LABURNUM AVENUE                 ,10:30,3760323,SPORT UTILITY / STATION WAGON,,,,,11355
17,17614,55,46,2,BROOKLYN,Passing or Lane Usage Improper,Unspecified,Unspecified,,,550       ROCKAWAY AVENUE               ,2017-09-30T00:00:00.000,40.66653,POINT (-73.90995 40.66653),,,,,-73.90995,0,0,0,0,0,0,0,0,,,1:45,3760292,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,11212
30,18181,42,53,2,BROOKLYN,Backing Unsafely,Unspecified,,,,,2017-09-30T00:00:00.000,40.69808,POINT (-73.92536 40.69808),,,,,-73.92536,0,0,0,0,0,0,0,0,DE KALB AVENUE,MYRTLE AVENUE                   ,12:20,3761281,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11221
17,13516,69,52,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,1843      ATLANTIC AVENUE               ,2017-09-30T00:00:00.000,40.677166,POINT (-73.92454 40.677166),,,,,-73.92454,0,0,0,0,0,0,0,0,,,20:50,3761154,MOTORCYCLE,PASSENGER VEHICLE,,,,11233
48,17615,17,44,2,,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,,2017-09-30T00:00:00.000,40.668797,POINT (-73.93113 40.668797),,,,,-73.93113,0,0,0,0,0,0,0,0,,EASTERN PARKWAY                 ,0:44,3760042,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11,17620,2,39,2,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.63665,POINT (-73.96805 40.63665),,,,,-73.96805,0,0,1,0,0,0,1,0,,CONEY ISLAND AVENUE             ,10:25,3761012,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
