:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
40,11272,48,33,5,BRONX,Driver Inattention/Distraction,Unspecified,Unspecified,,,140       VANCORTLANDT AVENUE WEST      ,2017-09-30T00:00:00.000,40.885345,POINT (-73.89433 40.885345),,,,,-73.89433,0,0,0,0,0,0,0,0,,,0:00,3761077,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,10463
6,24338,63,63,3,QUEENS,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.713303,POINT (-73.73586 40.713303),,,,,-73.73586,0,0,0,0,0,0,0,0,HEMPSTEAD AVENUE,SPRINGFIELD BOULEVARD           ,21:00,3760552,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11429
5,14784,66,68,3,QUEENS,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.74524,POINT (-73.86929 40.74524),,,,,-73.86929,0,0,0,0,0,0,0,0,95 STREET,43 AVENUE                       ,16:00,3761094,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11373
46,24669,41,71,3,QUEENS,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.67824,POINT (-73.7711 40.67824),,,,,-73.7711,0,0,0,0,0,0,0,0,BEDELL STREET,130 AVENUE                      ,3:00,3760565,PASSENGER VEHICLE,,,,,11434
21,14510,67,68,3,,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,,2017-09-30T00:00:00.000,40.744923,POINT (-73.83709 40.744923),,,,,-73.83709,0,0,0,0,0,0,0,0,,,21:30,3761098,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
10,12076,57,1,4,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.72576,POINT (-74.01077 40.72576),,,,,-74.01077,0,0,0,0,0,0,0,0,,CANAL STREET                    ,2:00,3760546,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
20,14191,22,67,3,QUEENS,Backing Unsafely,Passing or Lane Usage Improper,,,,115-11    14 ROAD                       ,2017-09-30T00:00:00.000,40.784676,POINT (-73.85202 40.784676),,,,,-73.85202,0,0,0,0,0,0,0,0,,,21:30,3760345,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11356
,,,,,,Passing or Lane Usage Improper,Unspecified,,,,,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,MAIN STREET,HORACE HARDING EXPRESSWAY       ,19:30,3760342,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
11,13510,60,43,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.63679,POINT (-73.95744 40.63679),,,,,-73.95744,0,0,0,0,0,0,0,0,FOSTER AVENUE,EAST 21 STREET                  ,22:00,3760354,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11226
49,17615,69,52,2,BROOKLYN,Driver Inattention/Distraction,,,,,,2017-09-30T00:00:00.000,40.677483,POINT (-73.93033 40.677483),,,,,-73.93033,0,0,0,0,1,0,1,0,ATLANTIC AVENUE,UTICA AVENUE                    ,19:01,3762094,PASSENGER VEHICLE,,,,,11213
37,17214,45,47,2,BROOKLYN,Glare,Unspecified,,,,2518      ATLANTIC AVENUE               ,2017-09-30T00:00:00.000,40.67551,POINT (-73.90137 40.67551),,,,,-73.90137,0,0,0,0,0,0,0,0,,,7:51,3762053,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,,11207
14,10700,4,75,1,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.60954,POINT (-74.14998 40.60954),,,,,-74.14998,0,0,0,0,0,0,0,0,VICTORY BOULEVARD,STATEN ISLAND EXPRESSWAY        ,15:40,3762012,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
32,11723,70,2,4,MANHATTAN,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.72293,POINT (-73.98865 40.72293),,,,,-73.98865,0,0,0,0,0,0,0,0,1 AVENUE,EAST HOUSTON STREET             ,23:15,3761199,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,10002
45,17616,1,37,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,8611      BAY PARKWAY                   ,2017-09-30T00:00:00.000,40.60154,POINT (-73.994225 40.60154),,,,,-73.994225,0,0,0,0,0,0,0,0,,,1:00,3760508,SPORT UTILITY / STATION WAGON,,,,,11214
7,13515,9,45,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.658413,POINT (-74.00357 40.658413),,,,,-74.00357,1,0,0,0,0,0,1,0,31 STREET,3 AVENUE                        ,23:00,3760510,BICYCLE,,,,,11232
7,13515,9,45,2,BROOKLYN,Driver Inexperience,Unspecified,Unspecified,,,,2017-09-30T00:00:00.000,40.65274,POINT (-74.009384 40.65274),,,,,-74.009384,0,0,0,0,0,0,0,0,3 AVENUE,41 STREET                       ,20:00,3760511,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,11232
49,17618,69,51,2,BROOKLYN,Oversized Vehicle,Oversized Vehicle,,,,,2017-09-30T00:00:00.000,40.69024,POINT (-73.9482 40.69024),,,,,-73.9482,0,0,0,0,0,0,0,0,MARCY AVENUE,LAFAYETTE AVENUE                ,21:00,3761434,PASSENGER VEHICLE,,,,,11216
45,17616,21,35,2,,Driver Inattention/Distraction,Unspecified,,,,BATH AVENUE                             ,2017-09-30T00:00:00.000,40.59122,POINT (-73.985794 40.59122),,,,,-73.985794,0,0,0,0,0,0,0,0,,,9:08,3761493,SPORT UTILITY / STATION WAGON,,,,,
38,17613,36,57,2,,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2017-09-30T00:00:00.000,40.71859,POINT (-73.9569 40.71859),,,,,-73.9569,0,0,0,0,0,0,0,0,,BEDFORD AVENUE                  ,20:45,3760487,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PICK-UP TRUCK,,,
16,16098,63,63,3,QUEENS,Unspecified,Unspecified,,,,255-03    HILLSIDE AVENUE               ,2017-09-30T00:00:00.000,40.7364,POINT (-73.71271 40.7364),,,,,-73.71271,0,0,0,0,0,0,0,0,,,13:00,3760481,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11004
27,13514,14,48,2,BROOKLYN,Unspecified,,,,,,2017-09-30T00:00:00.000,40.67713,POINT (-73.99842 40.67713),,,,,-73.99842,0,0,0,0,0,0,0,0,COURT STREET,LUQUER STREET                   ,16:30,3760476,PASSENGER VEHICLE,,,,,11231
16,24336,63,63,3,QUEENS,Failure to Yield Right-of-Way,Unspecified,,,,89-87     212 STREET                    ,2017-09-30T00:00:00.000,40.721962,POINT (-73.75072 40.721962),,,,,-73.75072,0,0,0,0,0,0,0,0,,,14:05,3760471,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11427
,,,,,,Turning Improperly,Unspecified,,,,,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,CASTLE HILL AVENUE,CROSS BRONX EXPWY SERVICE ROAD  ,17:08,3761349,PASSENGER VEHICLE,,,,,
31,11611,58,26,5,BRONX,Driver Inexperience,Unspecified,,,,,2017-09-30T00:00:00.000,40.817265,POINT (-73.86105 40.817265),,,,,-73.86105,0,0,0,0,0,0,0,0,RANDALL AVENUE,THIERIOT AVENUE                 ,16:45,3761346,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10473
8,13825,5,38,2,BROOKLYN,Backing Unsafely,Unspecified,,,,,2017-09-30T00:00:00.000,40.612316,POINT (-73.9404 40.612316),,,,,-73.9404,0,0,0,0,0,0,0,0,QUENTIN ROAD,EAST 31 STREET                  ,22:30,3761700,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11234
47,24669,63,63,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.66675,POINT (-73.779945 40.66675),,,,,-73.779945,0,0,0,0,0,0,0,0,SOUTH CONDUIT AVENUE,ROCKAWAY BOULEVARD              ,16:15,3760462,SPORT UTILITY / STATION WAGON,,,,,11434
6,24338,63,63,3,,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2017-09-30T00:00:00.000,40.709785,POINT (-73.72758 40.709785),,,,,-73.72758,0,0,0,0,0,0,0,0,,,16:45,3760460,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
35,10932,49,23,5,BRONX,Passing or Lane Usage Improper,Unspecified,,,,,2017-09-30T00:00:00.000,40.808163,POINT (-73.92653 40.808163),,,,,-73.92653,0,0,0,0,0,0,0,0,ALEXANDER AVENUE,EAST 135 STREET                 ,13:25,3760453,SPORT UTILITY / STATION WAGON,TAXI,,,,10454
43,10932,49,23,5,,Following Too Closely,Other Vehicular,,,,,2017-09-30T00:00:00.000,40.8047,POINT (-73.91243 40.8047),,,,,-73.91243,0,0,0,0,0,0,0,0,EAST 138 STREET,BRUCKNER BOULEVARD              ,10:15,3760451,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,,,,,MANHATTAN,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,WEST 48 STREET,12 AVENUE                       ,11:30,3761611,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,10036
41,24013,62,64,3,QUEENS,Reaction to Other Uninvolved Vehicle,Reaction to Other Uninvolved Vehicle,Reaction to Other Uninvolved Vehicle,,,,2017-09-30T00:00:00.000,40.67887,POINT (-73.83419 40.67887),,,,,-73.83419,0,0,0,0,0,0,0,0,CENTREVILLE AVENUE,ROCKAWAY BOULEVARD              ,15:30,3760430,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,PASSENGER VEHICLE,,,11417
41,15314,62,64,3,QUEENS,View Obstructed/Limited,Unspecified,,,,,2017-09-30T00:00:00.000,40.662247,POINT (-73.84262 40.662247),,,,,-73.84262,0,0,0,0,0,0,0,0,91 STREET,157 AVENUE                      ,15:45,3760428,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11414
42,10930,50,27,5,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.845024,POINT (-73.92632 40.845024),,,,,-73.92632,0,0,1,0,0,0,1,0,,,16:39,3760412,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
48,17212,68,55,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,97        GRAND AVENUE                  ,2017-09-30T00:00:00.000,40.694344,POINT (-73.964195 40.694344),,,,,-73.964195,0,0,0,0,0,0,0,0,,,16:15,3760410,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11205
3,14190,22,67,3,QUEENS,Backing Unsafely,Other Vehicular,,,,147-42    ELM AVENUE                    ,2017-09-30T00:00:00.000,40.756226,POINT (-73.81519 40.756226),,,,,-73.81519,0,0,0,0,0,0,0,0,,,15:15,3760334,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11355
42,10930,50,27,5,BRONX,Unspecified,,,,,,2017-09-30T00:00:00.000,40.840424,POINT (-73.92239 40.840424),,,,,-73.92239,0,0,0,0,0,0,0,0,WEST 170 STREET,SHAKESPEARE AVENUE              ,10:43,3760403,PASSENGER VEHICLE,,,,,10452
48,17615,17,44,2,BROOKLYN,Alcohol Involvement,Unspecified,,,,,2017-09-30T00:00:00.000,40.667015,POINT (-73.9313 40.667015),,,,,-73.9313,0,0,1,0,0,0,1,0,PRESIDENT STREET,UTICA AVENUE                    ,4:27,3760393,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11213
2,11275,29,30,5,BRONX,Other Vehicular,Driver Inattention/Distraction,,,,,2017-09-30T00:00:00.000,40.89155,POINT (-73.86179 40.89155),,,,,-73.86179,0,0,0,0,0,0,0,0,EAST 229 STREET,CARPENTER AVENUE                ,15:00,3761538,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,10466
2,11607,29,30,5,BRONX,Traffic Control Disregarded,Unspecified,Unspecified,,,,2017-09-30T00:00:00.000,40.87673,POINT (-73.847305 40.87673),,,,,-73.847305,0,0,1,0,0,0,1,0,BOSTON ROAD,CORSA AVENUE                    ,12:50,3761510,PASSENGER VEHICLE,,,,,10469
10,12080,11,8,4,MANHATTAN,Following Too Closely,Unspecified,,,,620       8 AVENUE                      ,2017-09-30T00:00:00.000,40.75604,POINT (-73.99066 40.75604),,,,,-73.99066,0,0,0,0,0,0,0,0,,,0:55,3760380,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,10018
15,13826,21,35,2,BROOKLYN,Passing or Lane Usage Improper,Unspecified,,,,3028      CONEY ISLAND AVENUE           ,2017-09-30T00:00:00.000,40.5824,POINT (-73.95999 40.5824),,,,,-73.95999,0,0,0,0,0,0,0,0,,,10:21,3761491,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11235
26,13825,5,38,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.63413,POINT (-73.928505 40.63413),,,,,-73.928505,0,0,0,0,0,0,0,0,UTICA AVENUE,KINGS HIGHWAY                   ,6:15,3761487,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11234
44,17616,1,37,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.59143,POINT (-73.99037 40.59143),,,,,-73.99037,0,0,0,0,0,0,0,0,HARWAY AVENUE,26 AVENUE                       ,16:00,3761477,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11214
43,10937,8,24,5,BRONX,Unspecified,,,,,,2017-09-30T00:00:00.000,40.817684,POINT (-73.89853 40.817684),,,,,-73.89853,0,0,0,0,0,0,0,0,LONGWOOD AVENUE,KELLY STREET                    ,19:05,3760392,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10455
43,10937,8,24,5,BRONX,Backing Unsafely,Unspecified,,,,,2017-09-30T00:00:00.000,40.823143,POINT (-73.89043 40.823143),,,,,-73.89043,0,0,0,0,0,0,0,0,ALDUS STREET,HOE AVENUE                      ,11:08,3760391,PASSENGER VEHICLE,,,,,10459
2,11607,29,30,5,BRONX,Unspecified,,,,,3247      LACONIA AVENUE                ,2017-09-30T00:00:00.000,40.872643,POINT (-73.85556 40.872643),,,,,-73.85556,0,0,0,0,0,0,0,0,,,22:30,3761544,PASSENGER VEHICLE,,,,,10469
48,13509,17,44,2,BROOKLYN,Unspecified,,,,,1015      WASHINGTON AVENUE             ,2017-09-30T00:00:00.000,40.664528,POINT (-73.9612 40.664528),,,,,-73.9612,0,0,0,0,0,0,0,0,,,12:57,3760394,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,,11225
19,12421,20,15,4,MANHATTAN,Unsafe Lane Changing,Unspecified,,,,638       COLUMBUS AVENUE               ,2017-09-30T00:00:00.000,40.78958,POINT (-73.96993 40.78958),,,,,-73.96993,0,0,0,0,0,0,0,0,,,16:20,3761468,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,10024
10,11722,12,6,4,MANHATTAN,Alcohol Involvement,Unspecified,,,,520       WEST 25 STREET                ,2017-09-30T00:00:00.000,40.749317,POINT (-74.00408 40.749317),,,,,-74.00408,0,0,0,0,0,0,0,0,,,2:10,3761508,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,10001
2,11275,29,30,5,BRONX,Driver Inattention/Distraction,Unspecified,,,,4164      WHITE PLAINS ROAD             ,2017-09-30T00:00:00.000,40.892494,POINT (-73.85787 40.892494),,,,,-73.85787,0,0,0,0,0,0,0,0,,,10:30,3761529,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,10466
19,12420,20,12,4,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.777092,POINT (-73.98211 40.777092),,,,,-73.98211,0,0,0,0,0,0,0,0,WEST 70 STREET,BROADWAY                        ,21:00,3761535,PASSENGER VEHICLE,TAXI,,,,10023
46,24015,62,64,3,QUEENS,Unspecified,,,,,,2017-09-30T00:00:00.000,40.685936,POINT (-73.82594 40.685936),,,,,-73.82594,0,0,0,0,0,0,0,0,117 STREET,LIBERTY AVENUE                  ,17:23,3761547,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11419
48,13509,17,44,2,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.66525,POINT (-73.94816 40.66525),,,,,-73.94816,0,0,0,0,0,0,0,0,,NEW YORK AVENUE                 ,20:00,3760395,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
36,13095,18,20,4,MANHATTAN,Driver Inattention/Distraction,,,,,,2017-09-30T00:00:00.000,40.81342,POINT (-73.93715 40.81342),,,,,-73.93715,0,0,0,0,1,0,1,0,5 AVENUE,WEST 136 STREET                 ,17:50,3761552,PASSENGER VEHICLE,,,,,10037
46,24339,62,64,3,QUEENS,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.666862,POINT (-73.8045 40.666862),,,,,-73.8045,0,0,0,0,0,0,0,0,134 PLACE,NORTH CONDUIT AVENUE            ,18:40,3760404,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11420
46,24339,62,64,3,QUEENS,Turning Improperly,Passing or Lane Usage Improper,,,,,2017-09-30T00:00:00.000,40.666332,POINT (-73.81056 40.666332),,,,,-73.81056,0,0,0,0,0,0,0,0,SOUTH CONDUIT AVENUE,130 STREET                      ,22:00,3761579,TAXI,PASSENGER VEHICLE,,,,11420
22,10936,6,29,5,BRONX,Unspecified,,,,,,2017-09-30T00:00:00.000,40.859303,POINT (-73.89884 40.859303),,,,,-73.89884,0,0,0,0,1,0,1,0,EAST 184 STREET,GRAND CONCOURSE                 ,18:29,3760414,PASSENGER VEHICLE,,,,,10468
22,10936,24,34,5,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.863632,POINT (-73.888855 40.863632),,,,,-73.888855,0,0,1,0,0,0,1,0,,WEBSTER AVENUE                  ,13:30,3760413,SPORT UTILITY / STATION WAGON,MOTORCYCLE,,,,
41,24016,62,64,3,QUEENS,Unspecified,,,,,,2017-09-30T00:00:00.000,40.670876,POINT (-73.82274 40.670876),,,,,-73.82274,0,0,0,0,0,0,0,0,135 AVENUE,117 STREET                      ,9:30,3761585,SPORT UTILITY / STATION WAGON,,,,,11420
38,18182,36,57,2,,Other Vehicular,Unspecified,,,,,2017-09-30T00:00:00.000,40.7204,POINT (-73.944534 40.7204),,,,,-73.944534,0,0,1,0,0,0,1,0,,HUMBOLDT STREET                 ,23:40,3761589,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
46,24016,62,64,3,QUEENS,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.673115,POINT (-73.80171 40.673115),,,,,-73.80171,0,0,0,0,0,0,0,0,ALWICK ROAD,VANWYCK EXPRESSWAY              ,16:00,3760429,TAXI,SPORT UTILITY / STATION WAGON,,,,11420
16,24336,26,69,3,,Passing or Lane Usage Improper,Unspecified,,,,,2017-09-30T00:00:00.000,40.72838,POINT (-73.760185 40.72838),,,,,-73.760185,0,0,0,0,0,0,0,0,,,14:20,3760435,SPORT UTILITY / STATION WAGON,,,,,
2,11275,29,30,5,BRONX,Alcohol Involvement,,,,,,2017-09-30T00:00:00.000,40.89063,POINT (-73.85892 40.89063),,,,,-73.85892,0,0,1,0,0,0,1,0,EAST 229 STREET,WHITE PLAINS ROAD               ,1:48,3761608,SPORT UTILITY / STATION WAGON,,,,,10466
30,15310,54,62,3,QUEENS,Driver Inattention/Distraction,Other Vehicular,,,,1652      HANCOCK STREET                ,2017-09-30T00:00:00.000,40.698215,POINT (-73.905815 40.698215),,,,,-73.905815,0,0,0,0,0,0,0,0,,,15:56,3761616,PASSENGER VEHICLE,PICK-UP TRUCK,,,,11385
6,24338,63,63,3,,Alcohol Involvement,Unspecified,,,,,2017-09-30T00:00:00.000,40.711227,POINT (-73.72826 40.711227),,,,,-73.72826,0,0,0,0,0,0,0,0,HEMPSTEAD AVENUE,CROSS ISLAND PARKWAY            ,17:15,3760459,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
51,12419,11,10,4,,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Unspecified,,,2017-09-30T00:00:00.000,40.75885,POINT (-73.97486 40.75885),,,,,-73.97486,0,0,1,0,0,0,0,0,,MADISON AVENUE                  ,8:25,3761631,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
43,10933,49,23,5,,Other Vehicular,Following Too Closely,,,,,2017-09-30T00:00:00.000,40.8164,POINT (-73.91705 40.8164),,,,,-73.91705,0,0,0,0,0,0,0,0,,3 AVENUE                        ,13:40,3760454,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
46,24670,41,61,3,QUEENS,Unspecified,,,,,104-13    INWOOD STREET                 ,2017-09-30T00:00:00.000,40.69321,POINT (-73.807884 40.69321),,,,,-73.807884,0,0,0,0,0,0,0,0,,,18:50,3760457,SPORT UTILITY / STATION WAGON,,,,,11435
8,13827,5,38,2,BROOKLYN,Turning Improperly,Unspecified,,,,1780      RALPH AVENUE                  ,2017-09-30T00:00:00.000,40.633263,POINT (-73.91874 40.633263),,,,,-73.91874,0,0,0,0,0,0,0,0,,,16:15,3761694,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11236
47,20529,51,59,3,QUEENS,Passing or Lane Usage Improper,,,,,,2017-09-30T00:00:00.000,40.609535,POINT (-73.75372 40.609535),,,,,-73.75372,0,0,0,0,0,0,0,0,HORTON AVENUE,BEACH CHANNEL DRIVE             ,17:30,3761779,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11691
34,15310,54,62,3,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.705227,POINT (-73.90624 40.705227),,,,,-73.90624,0,0,0,0,0,0,0,0,,WOODWARD AVENUE                 ,16:40,3760468,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,,,,,,Following Too Closely,Unspecified,Unspecified,,,,2017-09-30T00:00:00.000,40.74356,POINT (-73.96155 40.74356),,,,,-73.96155,0,0,2,0,0,0,2,0,,,21:09,3761882,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
7,13514,14,48,2,BROOKLYN,Turning Improperly,Unspecified,,,,,2017-09-30T00:00:00.000,40.681103,POINT (-74.00584 40.681103),,,,,-74.00584,0,0,0,0,0,0,0,0,RICHARDS STREET,BOWNE STREET                    ,13:00,3760473,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11231
47,24018,63,63,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,138-67    BROOKVILLE BOULEVARD          ,2017-09-30T00:00:00.000,40.66712,POINT (-73.73785 40.66712),,,,,-73.73785,0,0,1,0,0,0,1,0,,,10:20,3760477,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11422
16,24335,63,63,3,,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.74091,POINT (-73.726654 40.74091),,,,,-73.726654,0,0,1,0,0,0,1,0,,,12:45,3760480,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
6,24338,63,63,3,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.711033,POINT (-73.7281 40.711033),,,,,-73.7281,0,0,1,0,0,0,1,0,,,10:25,3760483,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,,,,,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,,,12:30,3760493,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
17,17614,55,46,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.666603,POINT (-73.91387 40.666603),,,,,-73.91387,0,0,0,0,0,0,0,0,SUTTER AVENUE,AMBOY STREET                    ,10:50,3760491,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11212
39,13091,47,22,4,MANHATTAN,View Obstructed/Limited,Driver Inattention/Distraction,,,,4225      BROADWAY                      ,2017-09-30T00:00:00.000,40.849125,POINT (-73.93688 40.849125),,,,,-73.93688,0,0,1,0,0,0,1,0,,,9:30,3761921,SPORT UTILITY / STATION WAGON,,,,,10033
39,13091,47,22,4,MANHATTAN,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,66        FORT GEORGE AVENUE            ,2017-09-30T00:00:00.000,40.858177,POINT (-73.92569 40.858177),,,,,-73.92569,0,0,0,0,0,0,0,0,,,11:25,3761924,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,10040
32,11728,56,1,4,MANHATTAN,Outside Car Distraction,,,,,,2017-09-30T00:00:00.000,40.713795,POINT (-74.008835 40.713795),,,,,-74.008835,0,0,0,0,1,0,1,0,MURRAY STREET,CHURCH STREET                   ,12:55,3760550,SPORT UTILITY / STATION WAGON,,,,,10007
39,13092,47,22,4,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.8612,POINT (-73.93497 40.8612),,,,,-73.93497,0,0,0,0,0,0,0,0,,,21:40,3761934,PASSENGER VEHICLE,,,,,
25,17215,45,47,2,,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.67126,POINT (-73.88243 40.67126),,,,,-73.88243,0,0,0,0,0,0,0,0,,SUTTER AVENUE                   ,5:05,3761963,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
18,17616,1,37,2,BROOKLYN,Reaction to Other Uninvolved Vehicle,Driver Inattention/Distraction,,,,,2017-09-30T00:00:00.000,40.605095,POINT (-73.986855 40.605095),,,,,-73.986855,0,0,0,0,0,0,0,0,QUENTIN ROAD,STILLWELL AVENUE                ,22:00,3760509,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11214
49,17615,16,49,2,,Unsafe Speed,Unsafe Lane Changing,,,,,2017-09-30T00:00:00.000,40.672703,POINT (-73.93635 40.672703),,,,,-73.93635,0,0,0,0,0,0,0,0,,TROY AVENUE                     ,10:20,3760525,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
25,17214,45,47,2,,Reaction to Other Uninvolved Vehicle,,,,,,2017-09-30T00:00:00.000,40.65749,POINT (-73.893074 40.65749),,,,,-73.893074,0,0,0,0,0,0,0,0,,LINDEN BOULEVARD                ,5:20,3762044,PASSENGER VEHICLE,,,,,
