Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/18/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,1.050539466,0.873392011,0.628034963,0.654497418,0.691406039,0.630312291,0.653370014,0.484974452,0.576645843,0.668955509,0.959422089,1.970337465,1.700288184,2.256040958,5.959758328,4.654184506,4.202191391,3.212023089,3.482720708,4.354870579,4.359214678,3.554088819,3.072329029,2.423449008,3.04054226,3.021371374,1.748878757,1.833735227,1.384280806,1.785316123,2.022168825,1.661319221,1.297907381,1.087300357,1.221733927,0.783570074,1.047018192,1.222293783,0.834994701,0.848104975,1.03138368,1.038022459,0.788785319,0.625443989,0.521453671,0.445836997,1.028287795,1.585993715,1.865741324,1.121234453,1.349703823,0.902696561,0.892440648,0.825861365,0.93592569,0.894097147,
Austria,AUT,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,2.590857467,1.888964116,2.097766267,2.335775189,2.328093772,2.502148792,2.420048143,2.1174331,2.266538523,2.410363501,2.311078503,2.025268085,1.790585975,1.673746097,1.513219888,1.496368245,1.730365174,1.854850063,1.82663235,1.753112033,1.754572653,1.409462036,1.834264575,2.131728009,1.917449914,2.14142975,1.63852529,1.266805419,1.196208089,1.179635344,0.927769561,0.935785383,0.816677558,0.774625891,0.888529481,0.658728489,0.61732271,0.709576648,0.759180948,0.272806631,0.374167216,0.362115996,0.358007644,0.296066068,0.334533705,0.330882494,0.35469247,0.396112309,0.563215376,0.338464183,0.344402328,0.332170779,0.247518142,0.22766545,0.334530111,0.517404139,
Austria,AUT,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.941921625,0.784209512,2.526751411,2.616869814,2.598719789,2.722558691,2.668453547,2.348603542,3.129427715,2.918621597,3.038687966,3.305571518,3.665363397,4.781386147,4.776158972,4.229296277,5.106020509,5.030519928,5.20551474,5.862079257,6.1866296,5.858920463,5.437881917,4.68609351,
Austria,AUT,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,0.77370812,0.602572783,0.56328909,0.522397022,0.50775131,0.563460987,0.902682256,0.831384775,0.81291046,0.845927866,0.733675715,0.654390867,0.472622478,0.506343357,0.580899063,0.500564466,0.579103648,0.587075883,0.683425373,0.692550879,0.674080046,0.677625979,0.630063468,0.662299442,0.770949209,0.711107296,0.687845088,0.833432661,1.008363304,1.140307916,1.365595398,1.548684099,1.701928175,2.255792139,2.443488983,1.96341212,2.087875499,2.224465306,2.266898101,1.366816406,1.537422604,1.813714166,2.081189938,2.316786764,2.183691838,2.805119032,3.013580396,3.154541245,3.2612375,3.146166466,3.520044298,3.671490997,4.388909102,5.174933405,5.481742304,5.840046713,
Austria,AUT,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,7.02725724,6.05958023,6.001942376,5.998558905,6.201047912,6.699455639,6.877579092,6.127132589,6.843664905,6.87714579,6.710310966,6.928423014,6.209414025,6.571211567,10.24998614,8.795024176,8.690895831,7.717161763,8.135510632,8.652440229,8.719247912,7.423452041,7.470972442,6.997180718,8.224475984,8.705460407,5.894962886,5.643320161,5.100623206,5.847271932,6.166140904,6.165396359,7.169278434,6.596343313,8.31104226,7.287590721,7.66119752,8.124620887,7.540260468,5.471319466,6.888121226,7.016459534,7.146101853,7.310783444,7.355189787,9.23101698,10.08696905,9.883595004,11.40721351,10.34909612,11.27432342,11.91089391,12.88551507,13.33553147,13.07863869,12.69825329,
Austria,AUT,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,82.23310619,83.42586324,83.77468436,83.00108082,83.75195808,83.59278006,84.13858322,84.68000346,83.54557104,83.89551552,84.27958688,84.23968857,85.68876081,85.17961124,80.4988637,81.30551473,81.75953741,82.79037027,82.43209475,81.80942501,81.22562241,80.39782589,81.13606395,82.31377016,80.41687234,80.59263711,85.20331508,86.76440475,87.21288691,86.603957,86.70045201,86.85868408,86.91477993,90.25260578,88.57679653,89.80152269,89.73890767,89.05647889,91.69608428,94.07289218,92.56996485,92.33519118,91.81300328,91.4800739,91.35737967,89.30041989,88.70799243,89.54289924,88.03970271,89.13076428,88.0190252,87.34160728,86.36821032,85.88967442,86.06561527,86.42155347,
Austria,AUT,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1415880000,1484770000,1551850000,1675270000,1862810000,2100540000,2327650000,2309460000,2496000000,2825380000,3548690000,4189680000,5216260000,7118910000,9022080000,9393870000,11522800000,14244700000,16018500000,20252400000,24444000000,21043000000,19502000000,19423000000,19629000000,20986000000,26863000000,32724000000,36223000000,38980000000,49146000000,50815000000,54112000000,49126000000,55233000000,66237000000,68505000000,65739000000,69504329000,71320782333,72394154148,74632731165,78299111942,99531532284,1.19905E+11,1.27327E+11,1.37212E+11,1.63037E+11,1.84293E+11,1.43063E+11,1.59009E+11,1.91417E+11,1.78513E+11,1.83277E+11,1.82006E+11,1.56106E+11,1.57094E+11
Austria,AUT,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,0.908574673,0.737982397,0.511492392,0.504383331,0.550964187,0.501384777,0.438445667,0.35940071,0.472529233,0.566311542,0.942491111,1.905853693,1.550432277,1.904413626,5.389945125,4.223912071,3.702964108,2.51865409,2.742447338,4.865145228,6.257853012,7.04112833,5.230347715,3.704753609,3.584023286,3.249345409,1.808902095,1.745715936,1.290476699,1.544075997,1.890855338,1.431677256,1.392486519,1.328869529,1.475841589,0.98058674,1.221340984,1.487777959,0.955397181,0.909646957,1.161925883,1.181957081,0.973319386,0.964040893,0.782229746,0.637570526,1.212726915,1.617075824,1.973923285,1.194748805,1.144087022,1.307627475,1.462339694,1.367278814,1.58307247,1.245083774,
Austria,AUT,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,,,,5.605779485,6.173886552,6.071833819,6.137217484,5.652468043,6.091725069,7.016128252,7.191441429,5.41468407,4.70452253,4.902734688,5.914860485,5.007518027,4.623980708,4.812846533,4.814168185,5.591027949,5.207569294,4.98845091,4.819250687,4.434870764,5.324941932,5.047559987,4.198727134,3.71060058,4.456740414,4.754479606,3.821423531,3.487670515,3.504346666,3.25744875,3.882542807,3.913723772,3.373292899,3.410860065,3.183869747,2.669211508,2.874704165,2.896730844,2.742477133,3.178738374,3.377551985,3.631113572,4.730691032,5.133498437,4.989121284,3.703069862,5.38542826,6.032455503,5.169274733,4.663331639,4.558003878,4.661495259,
Austria,AUT,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,,,,62.22411208,64.01351786,65.15265704,66.89368971,69.11367035,69.35861284,69.8950662,69.68408926,72.18677666,74.54642898,72.87420571,68.401592,69.98602527,71.21777142,73.19333736,73.15967493,71.43335512,68.94030319,65.91224303,68.45186631,71.33798886,69.18797584,70.03945782,77.15561003,79.45506943,80.56821076,80.55967831,81.45019507,82.26586961,83.20209709,83.3860775,82.95172254,81.94328169,82.03397567,82.91916434,84.24625235,84.23193311,81.43125357,80.89007333,80.01279977,79.85814997,78.77372371,74.9700032,72.63490724,75.57923431,73.309952,75.12542455,73.58163773,71.93370502,71.46678681,73.47821055,74.88389443,76.75269809,
